age,churn,contract,country,customer_id,dependents,deviceprotection,discount_offered,gender,internetservice,last_activity,monthlycharges,multiplelines,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,product_category,purchase_amount,region,satisfaction_score,seniorcitizen,streamingmovies,streamingtv,support_tickets_raised,techsupport,tenure,totalcharges,transaction_date,transaction_id,user_name
,Yes,Two year,,TEL_2225-ZRGSG,Yes,Yes,,Female,Fiber optic,,93.9,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,Yes,70.0,6579.05,,,
,No,One year,,TEL_8859-YSTWS,No,No internet service,,Male,No,,19.95,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,48.0,1004.5,,,
,Yes,Two year,,TEL_5271-YNWVR,Yes,Yes,,Male,Fiber optic,,113.15,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,68.0,7856,,,
,No,Two year,,TEL_7601-DHFWZ,No,No internet service,,Female,No,,24.0,Yes,No internet service,No internet service,No,No,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,48.0,1183.05,,,
,Yes,Month-to-month,,TEL_2657-ALMWY,No,No,,Female,Fiber optic,,84.95,No,Yes,No,No,Yes,Electronic check,Yes,,,,,1,Yes,No,,No,26.0,2169.75,,,
,Yes,Month-to-month,,TEL_6330-JKLPC,No,No,,Male,Fiber optic,,80.5,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,11.0,896.9,,,
,Yes,Month-to-month,,TEL_4667-OHGKG,No,No internet service,,Male,No,,19.3,No,No internet service,No internet service,Yes,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,19.3,,,
,No,One year,,TEL_1998-VHJHK,No,No internet service,,Female,No,,19.15,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,27.0,501.35,,,
,No,One year,,TEL_1707-HABPF,No,Yes,,Female,Fiber optic,,91.3,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,1,No,Yes,,No,46.0,4126.35,,,
,Yes,Month-to-month,,TEL_1660-HSOOQ,No,Yes,,Male,DSL,,49.65,No,No,No,Yes,No,Mailed check,Yes,,,,,0,No,No,,No,1.0,49.65,,,
,Yes,Two year,,TEL_7253-UVNDW,No,Yes,,Female,DSL,,54.35,No,No,No,No,No,Credit card (automatic),Yes,,,,,0,No,No,,Yes,46.0,2460.15,,,
,No,Month-to-month,,TEL_0487-VVUVK,Yes,No internet service,,Male,No,,19.15,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,25.0,477.6,,,
,Yes,Month-to-month,,TEL_7228-OMTPN,No,No,,Male,Fiber optic,,88.45,No,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,4.0,370.65,,,
,No,Two year,,TEL_5063-IUOKK,No,No internet service,,Male,No,,19.75,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,13.0,265.75,,,
,No,One year,,TEL_4508-OEBEY,No,Yes,,Male,DSL,,75.5,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,No,,Yes,31.0,2424.45,,,
,No,Month-to-month,,TEL_0027-KWYKW,Yes,No,,Female,Fiber optic,,83.75,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,No,Yes,,No,23.0,1849.95,,,
,No,Month-to-month,,TEL_2308-STERM,No,No internet service,,Female,No,,19.4,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,2.0,61.05,,,
,No,Two year,,TEL_5982-XMDEX,No,No internet service,,Female,No,,26.5,Yes,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,65.0,1698.55,,,
,Yes,Month-to-month,,TEL_6284-AHOOQ,No,No,,Male,Fiber optic,,90.5,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,,,,,1,No,Yes,,Yes,22.0,1910.6,,,
,No,One year,,TEL_6051-PTVNS,Yes,No internet service,,Female,No,,19.15,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,55.0,998.1,,,
,Yes,Month-to-month,,TEL_2344-JMOGN,No,Yes,,Male,Fiber optic,,94.85,No,Yes,No,Yes,Yes,Mailed check,Yes,,,,,0,No,Yes,,Yes,9.0,890.6,,,
,Yes,Month-to-month,,TEL_3799-ISUZQ,Yes,No,,Male,Fiber optic,,69.95,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,7.0,529.5,,,
,No,One year,,TEL_2877-VDUER,Yes,No,,Female,DSL,,40.9,No phone service,No,No,No,Yes,Mailed check,No,,,,,0,No,Yes,,Yes,35.0,1383.6,,,
,No,Two year,,TEL_9152-AMKAK,No,Yes,,Male,DSL,,80.25,No,No,Yes,Yes,No,Mailed check,Yes,,,,,0,Yes,Yes,,Yes,6.0,493.4,,,
,Yes,Month-to-month,,TEL_1794-HBQTJ,No,No,,Female,DSL,,48.6,No,No,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,No,No,,No,1.0,48.6,,,
,No,Month-to-month,,TEL_9432-VOFYX,No,No,,Male,Fiber optic,,70.8,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,17.0,1207,,,
,No,Month-to-month,,TEL_8049-WJCLQ,Yes,Yes,,Male,DSL,,60.2,No,No,No,No,Yes,Mailed check,Yes,,,,,0,No,Yes,,No,10.0,563.5,,,
,No,One year,,TEL_6586-PSJOX,Yes,Yes,,Male,DSL,,55.2,No,No,No,No,No,Credit card (automatic),Yes,,,,,0,No,No,,Yes,15.0,864.55,,,
,Yes,Month-to-month,,TEL_2460-FPSYH,No,No,,Female,DSL,,55.8,No phone service,Yes,Yes,Yes,No,Electronic check,No,,,,,1,Yes,Yes,,No,40.0,2109.35,,,
,No,One year,,TEL_9705-ZJBCG,Yes,No,,Female,DSL,,54.15,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,Yes,13.0,701.05,,,
,Yes,Month-to-month,,TEL_4818-DRBQT,No,No,,Male,Fiber optic,,80.15,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,29.0,2265.25,,,
,Yes,Month-to-month,,TEL_1320-HTRDR,No,No,,Female,Fiber optic,,75.5,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,3.0,220.6,,,
,No,Month-to-month,,TEL_6847-KJLTS,No,No,,Female,Fiber optic,,100.4,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,1,Yes,Yes,,Yes,58.0,5749.8,,,
,No,One year,,TEL_9670-BPNXF,No,No,,Female,DSL,,62.55,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,No,No,,Yes,45.0,2796.45,,,
,No,Two year,,TEL_3913-FCUUW,Yes,Yes,,Female,DSL,,70.45,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,Yes,72.0,5165.7,,,
,No,One year,,TEL_3301-VKTGC,Yes,No,,Male,Fiber optic,,85.5,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,68.0,5696.6,,,
,Yes,Month-to-month,,TEL_1493-AMTIE,No,No internet service,,Male,No,,20.2,No,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,20.2,,,
,No,Month-to-month,,TEL_9555-SAHUZ,Yes,No,,Female,DSL,,54.5,No,Yes,Yes,No,Yes,Electronic check,Yes,,,,,0,No,No,,No,38.0,2076.05,,,
,No,Month-to-month,,TEL_0816-TSPHQ,No,No internet service,,Male,No,,20.75,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,2.0,44.2,,,
,No,Month-to-month,,TEL_9932-WBWIK,No,No internet service,,Male,No,,20.35,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,11.0,215.25,,,
,No,One year,,TEL_4619-EVPHY,No,No,,Female,Fiber optic,,91.0,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,1,Yes,Yes,,No,20.0,1859.5,,,
,No,Two year,,TEL_5286-YHCVC,No,Yes,,Male,Fiber optic,,104.8,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,72.0,7470.1,,,
,Yes,Month-to-month,,TEL_6424-ELEYH,No,No,,Female,Fiber optic,,74.75,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,No,3.0,229.5,,,
,Yes,Month-to-month,,TEL_4391-RESHN,No,Yes,,Male,Fiber optic,,104.05,Yes,No,No,Yes,No,Mailed check,Yes,,,,,0,Yes,Yes,,Yes,23.0,2470.1,,,
,No,Month-to-month,,TEL_9115-YQHGA,No,No,,Male,DSL,,51.1,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,Yes,40.0,2092.9,,,
,No,Month-to-month,,TEL_4462-CYWMH,No,No,,Male,Fiber optic,,89.8,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,1,Yes,No,,No,62.0,5629.55,,,
,No,Month-to-month,,TEL_8963-MQVYN,Yes,No internet service,,Female,No,,20.55,No,No internet service,No internet service,Yes,No,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,22.0,469.85,,,
,No,Month-to-month,,TEL_2458-EOMRE,No,Yes,,Female,DSL,,64.05,No,No,Yes,No,No,Bank transfer (automatic),Yes,,,,,0,Yes,No,,No,11.0,733.95,,,
,No,Month-to-month,,TEL_9334-GWGOW,No,No,,Male,Fiber optic,,74.85,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,1,No,No,,No,7.0,485.25,,,
,Yes,Month-to-month,,TEL_6821-BUXUX,No,No,,Female,Fiber optic,,96.65,Yes,Yes,Yes,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,13.0,1244.5,,,
,Yes,Month-to-month,,TEL_5028-HTLJB,No,No internet service,,Male,No,,20.05,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,1,No internet service,No internet service,,No internet service,1.0,20.05,,,
,Yes,Month-to-month,,TEL_9801-GDWGV,No,Yes,,Female,Fiber optic,,103.45,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,39.0,3994.45,,,
,No,Month-to-month,,TEL_6542-LWGXJ,No,No,,Male,DSL,,25.0,No phone service,No,No,No,Yes,Mailed check,No,,,,,0,No,No,,No,3.0,78.25,,,
,No,Two year,,TEL_5567-GZKQY,No,No internet service,,Male,No,,20.3,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,58.0,1131.5,,,
,No,Month-to-month,,TEL_1222-LRYKO,Yes,No internet service,,Male,No,,26.35,Yes,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,6.0,184.05,,,
,Yes,Month-to-month,,TEL_2320-JRSDE,Yes,No internet service,,Female,No,,19.9,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,19.9,,,
,No,Month-to-month,,TEL_2087-QAREY,No,Yes,,Female,DSL,,54.7,No,Yes,No,Yes,Yes,Mailed check,Yes,,,,,0,No,No,,No,22.0,1178.75,,,
,Yes,Month-to-month,,TEL_0601-WZHJF,No,No,,Male,DSL,,46.35,No phone service,No,No,No,Yes,Electronic check,No,,,,,0,Yes,Yes,,No,14.0,667.7,,,
,No,One year,,TEL_4423-JWZJN,Yes,Yes,,Male,Fiber optic,,90.25,Yes,No,No,No,Yes,Credit card (automatic),Yes,,,,,0,Yes,No,,No,64.0,5629.15,,,
,Yes,Month-to-month,,TEL_5143-WMWOG,No,No internet service,,Male,No,,19.95,No,No internet service,No internet service,No,No,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,19.95,,,
,No,Month-to-month,,TEL_6490-FGZAT,No,No internet service,,Male,No,,20.65,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,6.0,109.3,,,
,Yes,Month-to-month,,TEL_5393-RXQSZ,No,No,,Male,Fiber optic,,79.6,No,No,No,No,No,Electronic check,Yes,,,,,0,Yes,No,,No,1.0,79.6,,,
,No,One year,,TEL_7452-FOLON,Yes,No internet service,,Male,No,,25.45,Yes,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,39.0,958.45,,,
,No,One year,,TEL_2320-TZRRH,No,No internet service,,Female,No,,19.5,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,20.0,403.15,,,
,Yes,Month-to-month,,TEL_0231-LXVAP,No,No,,Male,Fiber optic,,75.9,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,Yes,1.0,75.9,,,
,Yes,Month-to-month,,TEL_9444-JTXHZ,No,Yes,,Male,Fiber optic,,76.2,No,No,No,No,Yes,Electronic check,Yes,,,,,0,No,No,,No,1.0,76.2,,,
,No,One year,,TEL_4942-VZZOM,No,No,,Male,DSL,,66.15,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,Yes,,No,64.0,4392.5,,,
,Yes,Month-to-month,,TEL_5510-BOIUJ,Yes,No internet service,,Male,No,,19.25,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,19.25,,,
,No,Month-to-month,,TEL_7502-BNYGS,No,No,,Female,DSL,,69.1,No,Yes,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,46.0,3168,,,
,No,One year,,TEL_4291-HYEBC,Yes,No,,Female,DSL,,39.1,No phone service,Yes,No,Yes,Yes,Electronic check,No,,,,,1,Yes,No,,No,28.0,1096.6,,,
,No,Month-to-month,,TEL_6147-CBCRA,No,No internet service,,Female,No,,20.05,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,33.0,669.45,,,
,No,One year,,TEL_6047-SUHPR,Yes,Yes,,Male,DSL,,59.8,No,Yes,Yes,No,Yes,Electronic check,Yes,,,,,0,No,No,,No,39.0,2343.85,,,
,Yes,Month-to-month,,TEL_4471-KXAUH,No,Yes,,Female,Fiber optic,,84.3,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,No,No,,Yes,42.0,3588.4,,,
,No,Month-to-month,,TEL_9752-ZNQUT,No,No,,Female,DSL,,48.6,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,1.0,48.6,,,
,Yes,Month-to-month,,TEL_7638-QVMVY,No,No,,Female,Fiber optic,,79.0,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,7.0,522.95,,,
,No,Two year,,TEL_1576-PFZIW,No,Yes,,Male,Fiber optic,,105.35,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,,,,,1,Yes,Yes,,No,70.0,7511.9,,,
,No,Two year,,TEL_5666-MBJPT,No,No internet service,,Male,No,,25.1,Yes,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,65.0,1725,,,
,No,Month-to-month,,TEL_7312-XSBAT,No,No,,Male,DSL,,49.75,No,No,Yes,No,No,Electronic check,Yes,,,,,0,No,No,,No,1.0,49.75,,,
,No,Month-to-month,,TEL_3096-GKWEB,No,No,,Male,Fiber optic,,94.75,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,18.0,1691.9,,,
,No,Month-to-month,,TEL_2371-JQHZZ,No,No,,Male,Fiber optic,,93.0,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,24.0,2248.05,,,
,No,Two year,,TEL_0674-GCDXG,No,Yes,,Male,DSL,,71.9,Yes,No,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,No,,Yes,63.0,4479.2,,,
,No,One year,,TEL_1121-QSIVB,Yes,No,,Female,DSL,,77.55,Yes,Yes,No,Yes,No,Mailed check,Yes,,,,,0,Yes,Yes,,No,44.0,3471.1,,,
,No,Month-to-month,,TEL_4396-KLSEH,No,No internet service,,Male,No,,19.85,No,No internet service,No internet service,Yes,No,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,4.0,63,,,
,Yes,Month-to-month,,TEL_3244-DCJWY,No,No,,Female,Fiber optic,,70.25,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,1.0,70.25,,,
,No,Month-to-month,,TEL_2824-MYYBN,Yes,No,,Female,Fiber optic,,95.25,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,37.0,3314.15,,,
,Yes,Month-to-month,,TEL_0875-CABNR,No,Yes,,Female,Fiber optic,,84.6,No,No,No,Yes,No,Credit card (automatic),Yes,,,,,1,Yes,No,,No,10.0,865.55,,,
,No,Month-to-month,,TEL_6345-HOVES,No,No,,Male,DSL,,25.05,No phone service,No,No,Yes,No,Bank transfer (automatic),No,,,,,0,No,No,,No,34.0,852.7,,,
,No,One year,,TEL_8318-LCNBW,No,Yes,,Male,DSL,,53.15,No phone service,No,Yes,No,Yes,Credit card (automatic),No,,,,,0,Yes,Yes,,No,35.0,1930.9,,,
,No,Month-to-month,,TEL_6469-QJKZW,No,No internet service,,Female,No,,20.15,No,No internet service,No internet service,No,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,4.0,91.4,,,
,No,Month-to-month,,TEL_0147-ESWWR,No,No,,Female,Fiber optic,,101.25,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,1,Yes,Yes,,Yes,39.0,3949.15,,,
,No,One year,,TEL_1217-VASWC,No,Yes,,Male,Fiber optic,,100.55,No,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,1,Yes,Yes,,No,43.0,4304,,,
,Yes,Month-to-month,,TEL_7812-FZHPE,Yes,No internet service,,Female,No,,24.1,Yes,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,17.0,409.9,,,
,No,Two year,,TEL_6370-ZVHDV,No,No internet service,,Female,No,,25.3,Yes,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,61.0,1554.9,,,
,No,One year,,TEL_5915-DGNVC,No,Yes,,Female,DSL,,71.8,Yes,Yes,Yes,No,Yes,Electronic check,Yes,,,,,0,Yes,No,,No,49.0,3472.05,,,
,No,One year,,TEL_6260-XLACS,No,No internet service,,Male,No,,19.7,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,4.0,117.8,,,
,No,Two year,,TEL_3566-CAAYU,Yes,Yes,,Female,DSL,,49.85,No phone service,Yes,No,No,Yes,Electronic check,No,,,,,0,Yes,No,,Yes,64.0,3210.35,,,
,No,Month-to-month,,TEL_4983-CCWMC,No,No,,Male,Fiber optic,,69.6,No,No,No,Yes,No,Mailed check,Yes,,,,,0,No,No,,No,3.0,207.4,,,
,No,Month-to-month,,TEL_9103-CXVOK,Yes,No internet service,,Male,No,,19.75,No,No internet service,No internet service,No,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,19.75,,,
,No,One year,,TEL_2896-TBNBE,No,Yes,,Male,Fiber optic,,80.8,No,Yes,No,No,Yes,Electronic check,Yes,,,,,0,No,No,,No,40.0,3132.75,,,
,Yes,Month-to-month,,TEL_4797-AXPXK,Yes,No,,Female,DSL,,60.0,No,Yes,Yes,Yes,No,Electronic check,Yes,,,,,0,No,No,,Yes,1.0,60,,,
,Yes,Month-to-month,,TEL_5229-PRWKT,No,No,,Male,Fiber optic,,86.55,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,8.0,649.65,,,
,Yes,Month-to-month,,TEL_6982-UQZLY,No,No internet service,,Female,No,,20.85,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,,,,,1,No internet service,No internet service,,No internet service,1.0,20.85,,,
,No,One year,,TEL_2522-WLNSF,No,Yes,,Female,DSL,,64.2,No,No,No,No,Yes,Bank transfer (automatic),Yes,,,,,1,No,Yes,,Yes,34.0,2106.3,,,
,No,Month-to-month,,TEL_3841-CONLJ,No,No,,Female,DSL,,35.0,No phone service,No,No,No,Yes,Electronic check,No,,,,,0,Yes,No,,No,1.0,35,,,
,Yes,Month-to-month,,TEL_5057-LCOUI,No,Yes,,Female,DSL,,50.75,No phone service,No,No,Yes,No,Electronic check,No,,,,,0,Yes,Yes,,No,39.0,2011.4,,,
,Yes,One year,,TEL_0193-ESZXP,No,No,,Female,Fiber optic,,105.5,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,Yes,,Yes,58.0,6205.5,,,
,No,Two year,,TEL_4475-NVTLU,Yes,No internet service,,Male,No,,19.2,No,No internet service,No internet service,No,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,45.0,903.7,,,
,Yes,Month-to-month,,TEL_4369-HTUIF,No,No,,Male,Fiber optic,,85.15,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,1,No,Yes,,No,6.0,503.6,,,
,No,One year,,TEL_9386-LDCZR,No,Yes,,Male,Fiber optic,,90.65,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,No,No,,Yes,43.0,3882.3,,,
,No,Two year,,TEL_9585-KKMFD,Yes,No internet service,,Male,No,,20.0,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,41.0,879.8,,,
,No,Month-to-month,,TEL_5399-ZIMKF,No,No,,Male,Fiber optic,,74.65,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,5.0,383.65,,,
,No,Two year,,TEL_0336-KXKFK,No,Yes,,Male,DSL,,61.2,No phone service,No,Yes,Yes,No,Credit card (automatic),No,,,,,0,Yes,Yes,,Yes,72.0,4390.25,,,
,No,One year,,TEL_5619-XZZKR,No,No internet service,,Male,No,,19.95,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,4.0,68.2,,,
,No,Month-to-month,,TEL_3948-FVVRP,Yes,No,,Male,DSL,,54.8,No,Yes,No,No,Yes,Mailed check,Yes,,,,,0,No,No,,Yes,9.0,452.8,,,
,No,Two year,,TEL_5327-XOKKY,No,Yes,,Male,DSL,,73.45,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,Yes,,No,72.0,5329,,,
,No,One year,,TEL_0983-TATYJ,No,No,,Female,DSL,,51.45,No,No,No,Yes,Yes,Mailed check,Yes,,,,,0,No,No,,Yes,33.0,1758.9,,,
,No,Two year,,TEL_1813-JYWTO,No,No,,Female,Fiber optic,,80.45,Yes,No,Yes,No,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,72.0,5737.6,,,
,Yes,Month-to-month,,TEL_0156-FVPTA,No,No,,Male,DSL,,54.2,No,No,Yes,Yes,Yes,Electronic check,Yes,,,,,0,No,No,,Yes,22.0,1152.7,,,
,Yes,One year,,TEL_1984-FCOWB,No,Yes,,Female,Fiber optic,,109.5,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,70.0,7674.55,,,
,Yes,Month-to-month,,TEL_0654-HMSHN,Yes,Yes,,Male,Fiber optic,,104.4,Yes,Yes,No,No,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,21.0,2157.95,,,
,No,Month-to-month,,TEL_6719-OXYBR,No,Yes,,Male,Fiber optic,,85.3,No,No,No,No,No,Electronic check,Yes,,,,,0,No,Yes,,No,15.0,1219.85,,,
,No,Month-to-month,,TEL_3312-ZWLGF,No,No,,Male,Fiber optic,,79.3,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,1,No,No,,Yes,29.0,2414.55,,,
,No,Month-to-month,,TEL_6476-YHMGA,Yes,Yes,,Female,DSL,,76.5,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,15.0,1155.6,,,
,Yes,Month-to-month,,TEL_5287-QWLKY,Yes,No,,Male,Fiber optic,,105.1,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,Yes,,No,71.0,7548.1,,,
,No,Two year,,TEL_0795-XCCTE,No,No internet service,,Male,No,,25.4,Yes,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,1,No internet service,No internet service,,No internet service,72.0,1809.35,,,
,No,Month-to-month,,TEL_0168-XZKBB,No,No,,Female,Fiber optic,,86.85,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,No,Yes,,No,19.0,1564.4,,,
,No,Month-to-month,,TEL_3785-NRHYR,No,No internet service,,Male,No,,19.65,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,19.65,,,
,Yes,Month-to-month,,TEL_5196-SGOAK,No,No,,Female,Fiber optic,,75.7,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,1.0,75.7,,,
,No,Month-to-month,,TEL_4537-DKTAL,No,No,,Female,DSL,,45.55,No,No,No,No,No,Electronic check,Yes,,,,,0,No,No,,No,2.0,84.4,,,
,No,Month-to-month,,TEL_7072-MBHEV,Yes,Yes,,Female,Fiber optic,,78.1,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,1,No,No,,No,11.0,864.85,,,
,No,One year,,TEL_5602-BVFMK,No,No internet service,,Female,No,,19.3,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,12.0,228.75,,,
,No,Two year,,TEL_6297-NOOPG,No,Yes,,Female,Fiber optic,,110.5,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,70.0,7752.05,,,
,Yes,Month-to-month,,TEL_1891-UAWWU,No,Yes,,Female,Fiber optic,,90.8,Yes,No,No,No,Yes,Electronic check,Yes,,,,,1,No,Yes,,No,20.0,1951,,,
,No,Month-to-month,,TEL_8204-TIFGJ,No,No internet service,,Female,No,,20.3,No,No internet service,No internet service,Yes,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,23.0,470.6,,,
,No,Two year,,TEL_8050-DVOJX,No,Yes,,Male,DSL,,81.35,Yes,Yes,Yes,No,No,Credit card (automatic),Yes,,,,,1,Yes,No,,Yes,49.0,4060.9,,,
,Yes,Month-to-month,,TEL_6108-OQZDQ,Yes,No,,Female,Fiber optic,,97.95,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,4.0,384.5,,,
,Yes,Month-to-month,,TEL_0363-QJVFX,No,No,,Male,Fiber optic,,108.15,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,32.0,3432.9,,,
,No,Month-to-month,,TEL_8903-XEBGX,Yes,No,,Male,DSL,,55.3,No,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,2.0,108.65,,,
,No,Two year,,TEL_8169-SAEJD,No,No,,Male,DSL,,56.55,No phone service,Yes,Yes,No,Yes,Credit card (automatic),No,,,,,1,Yes,Yes,,No,69.0,3952.65,,,
